feature	logFC	AveExpr	t	P.Value	adj.P.Val	B	name	name_lipid1	name_lipid3	identity	abbreviation	composition	pre_fatty_acid_length	n_doub_bonds	definition	m_z	rt	main_fat_acd_length_num	main_fat_acd_length_fct	definition2
NA_656.42728_6.8	0.2817613215363751	11.475993432540816	1.330673832424918	0.20894870317970313	0.3808798132667374	-5.828656182458417	NA	NA	NA	NA	NA	NA	NA	NA	NA	656.42728	6.8	NA	NA	NA
NA_916.60631_6.25	-0.5182075031683486	14.76601107231624	-1.3431643221281273	0.20499471790845533	0.37648492278241047	-5.830965976221017	NA	NA	NA	NA	NA	NA	NA	NA	NA	916.60631	6.25	NA	NA	NA
LPE 20:2_505.31706_3.94	0.5462045931295956	11.796174854009148	1.3439014873284225	0.20476329956109285	0.37648492278241047	-5.832759579665702	LPE 20:2	LPE 20:2	LPE 20:2	LPE 20:2	LPE	20:2	20	2	LPE	505.31706	3.94	20	20	LPE 20:2
NA_660.51939_7.3	-0.21723668345047825	11.961021862767764	-1.3062608032574337	0.21685756873233283	0.38622807861816943	-5.832969505624186	NA	NA	NA	NA	NA	NA	NA	NA	NA	660.51939	7.3	NA	NA	NA
NA_693.50226_4.2	-0.683086604654364	10.457657336528612	-1.35391380903769	0.20164140715501458	0.3735396132546257	-5.833904231026145	NA	NA	NA	NA	NA	NA	NA	NA	NA	693.50226	4.2	NA	NA	NA
NA_520.44839_23.18	-0.5100367046170279	9.790539060566179	-1.3569915348551569	0.20068969449800406	0.3721802369192084	-5.836397610161777	NA	NA	NA	NA	NA	NA	NA	NA	NA	520.44839	23.18	NA	NA	NA
NA_820.55576_8.47	-0.3131957022252278	12.52471285848229	-1.3515968147308886	0.20236034004016978	0.3738319735675224	-5.837108339484338	NA	NA	NA	NA	NA	NA	NA	NA	NA	820.55576	8.47	NA	NA	NA
NA_320.23789_4.27	-0.27239386166412594	12.167318524878567	-1.315941048148664	0.21369276578314347	0.38367800193273205	-5.840670101872205	NA	NA	NA	NA	NA	NA	NA	NA	NA	320.23789	4.27	NA	NA	NA
NA_793.67898_12.64	0.45090118896867054	14.714408382619045	1.3512895453602056	0.20245584048592402	0.3738319735675224	-5.841188037129729	NA	NA	NA	NA	NA	NA	NA	NA	NA	793.67898	12.64	NA	NA	NA
SM 34:1;3O_718.56132_6.94	0.2073073426132937	11.823404891290988	1.3178235714887707	0.2130817104280217	0.38309848569585375	-5.841495829588156	SM 34:1;3O	SM 34:1	SM 34:1	SM 34:1	SM	34:1	34	1	SM	718.56132	6.94	34	34	SM 34:1
NA_916.69433_11.98	0.3358389864027377	12.202928548420582	1.319192281392733	0.21263833379677588	0.38309848569585375	-5.8415440086777854	NA	NA	NA	NA	NA	NA	NA	NA	NA	916.69433	11.98	NA	NA	NA
NA_596.4799_6.56	0.5955411440211175	11.621733150088494	1.3269197384385685	0.21014926983931512	0.38147500064207573	-5.849554343969185	NA	NA	NA	NA	NA	NA	NA	NA	NA	596.4799	6.56	NA	NA	NA
PC 42:1_871.70176_19.64	0.36425725060516506	11.904878673291742	1.341473040414038	0.20552647653286582	0.3765920548416584	-5.853425027667263	PC 42:1	PC 42:1	PC 42:1	PC 42:1	PC	42:1	42	1	PC	871.70176	19.64	42	42	PC 42:1
